,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
20,,,,,,,,,,,,,,,,,,1.099553,,,,,,,,,,,,6a38da00-f2ad-4a13-b0b8-113b87e96eab,29,,"[19.8, 10.6]",3942227,0,,,,-0.28255495,,Right Foot,,,,"[35.3, 6.1]",,Ground Pass,,16.140013,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,Ezri Konsa Ngoyo,3822.0,Left Center Back,4,England,768,['21477e9e-5d06-4306-9fa5-8a3772ede6c6'],50,,,,,,,,,,,,,,,,,,England,768,00:00:50.688,Pass,
21,,,,,,,,,,,,,,,,,,1.449824,,,,,,,,,,,,fe0035d8-323e-4e08-98d2-ebd5797bd69a,33,,"[32.4, 5.5]",3942227,0,,,,-2.920764,,Left Foot,,,,"[17.7, 2.2]",,Ground Pass,,15.065855,,,Ezri Konsa Ngoyo,3822.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Left Attacking Midfield,4,England,768,"['691ae2a5-c12a-4a23-a570-4f33451c147f', '752060d0-c2cc-4c29-9e14-8bd3f208cef2']",53,,,,,,,,,,,,,,,,,,England,768,00:00:53.283,Pass,True
22,,,,,,,,,,,,,,,,,,1.751468,,,,,,,,,,,,6d32f672-8375-4a81-8cef-8859844cab30,36,,"[17.7, 2.2]",3942227,0,,,,2.0318089,,Other,,,,"[2.6, 32.6]",,Low Pass,,33.94363,,,Jordan Pickford,3468.0,,,,,,1,Regular Play,Ezri Konsa Ngoyo,3822.0,Left Center Back,4,England,768,['d9303580-226d-4363-9094-7d0cabe94037'],55,,,,,,,,,,,,,,,,,,England,768,00:00:55.354,Pass,
23,,,,,,,,,,,,,,,,,,2.034101,,,,,,,,,,,,d1b797cf-152d-4452-acd6-cecfdbe3d6ee,40,,"[5.3, 41.0]",3942227,0,,,,1.323115,,Left Foot,,,,"[14.1, 75.8]",,Ground Pass,,35.895405,,,Kyle Walker,3205.0,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,4,England,768,['c4a829a6-3b64-4ef9-a4ed-2d0d3d800827'],58,,,,,,,,,,,,,,,,,,England,768,00:00:58.958,Pass,
24,,,,,,,,,,,,,,,,,,0.214232,,,,,,,,,,,,60fbe492-0a3d-4653-aab6-bf0f550f839f,43,,"[14.1, 75.8]",3942227,1,,,,-0.38050637,,Right Foot,,,,"[16.1, 75.0]",,Low Pass,,2.1540658,Incomplete,,,,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Center Back,4,England,768,['399329dd-4bb7-494a-b7fd-ffafb84eec15'],2,,,,,,,,,,,,,,,,,,England,768,00:01:02.397,Pass,
25,,,,,,,,,,,,,,,,,,1.087643,,,,,,,,,,,,c26376a2-616c-43e7-91f2-3b7e424194a8,45,,"[27.7, 80.0]",3942227,1,,,,-0.63803667,,,,,,"[42.4, 69.1]",,Low Pass,,18.300274,,,Phil Foden,4354.0,,,,,Throw-in,1,From Throw In,Kyle Walker,3205.0,Right Center Back,5,England,768,['dcd34bea-ff1c-47ca-ab34-b3c49210a0ef'],16,,,,,,,,,,,,,,,,,,England,768,00:01:16.646,Pass,
26,,,,,,,,,,,,,,,,,,2.038487,,,,,,,,,,,,2d79a267-913d-4c60-a44b-7e970ba5c104,48,,"[42.8, 69.1]",3942227,1,,,,-1.130266,,Left Foot,,,,"[52.7, 48.1]",,Ground Pass,,23.216589,Incomplete,,Kobbie Mainoo,99174.0,,,,,,1,From Throw In,Phil Foden,4354.0,Right Attacking Midfield,5,England,768,"['2c99f03b-fe12-4185-a327-ee43694d88a9', 'ae12e195-ce1e-4ba3-9257-a07ba2cb2e61']",18,,,,,,,,,,,,,,,,,,England,768,00:01:18.333,Pass,
27,,,,,,,,,,,,,,,,,,1.632955,,,,,,,,,,,,e9a7d91f-9ad8-4a1b-950d-04a4e6bd83ec,52,,"[68.0, 35.5]",3942227,1,,,,2.9340963,,Left Foot,,,,"[52.8, 38.7]",,Ground Pass,,15.533191,,,Fabian Lukas Schär,5537.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,6,Switzerland,773,['af643c80-3cf4-498e-bb8e-c65800734fb2'],20,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:20.844,Pass,
28,,,,,,,,,,,,,,,,,,1.037275,,,,,,,,,,,,877d8a75-feb5-4505-bfdf-77ad755a8909,55,,"[49.0, 38.9]",3942227,1,,,,0.7604034,,Left Foot,,,,"[53.1, 42.8]",,Ground Pass,,5.658622,,,Granit Xhaka,3500.0,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Right Center Back,6,Switzerland,773,['7464400c-ad70-4701-9c1e-2e31474ecd22'],23,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:23.548,Pass,
29,,,,,,,,,,,,,,,,,,1.017584,,,,,,,,,,,,5c91d47b-9624-469d-a217-704a0bfa5d41,58,,"[53.7, 44.2]",3942227,1,,,,-2.130736,,Left Foot,,,,"[41.1, 24.1]",,Low Pass,,23.722775,,,Manuel Obafemi Akanji,5549.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,6,Switzerland,773,['b247a384-d366-4969-9029-88d8ab3ae9e8'],25,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:25.317,Pass,
