,50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
3196,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ffcb3b6c-a3f0-4e02-b676-1527c24bf456,356,,,"[94.4, 18.4]",3942819,8,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Jude Bellingham,30714.0,Left Attacking Midfield,12,England,768,['c5ff2283-132f-44d7-b9f7-cf3aba0135e6'],6,,,,,,,,,,,,,,,,,England,768,00:08:06.697,Ball Recovery,True
3197,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f1e327e4-81b2-4c14-9729-335510cbe988,381,,,"[91.4, 18.7]",3942819,8,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Jude Bellingham,30714.0,Left Attacking Midfield,12,England,768,,29,,,,,,,,,,,,,,,,,England,768,00:08:29.547,Ball Recovery,
3198,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a7481a32-b1b6-4c84-a9af-de919781d71b,390,,,"[25.6, 54.3]",3942819,10,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Donyell Malen,15582.0,Right Wing,13,England,768,,33,,,,,,,,,,,,,,,,,Netherlands,941,00:10:33.733,Ball Recovery,
3199,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f03d78d5-3514-4842-b187-fb59d2c00721,396,,,"[69.5, 65.0]",3942819,10,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Bukayo Saka,22084.0,Right Wing Back,13,England,768,"['204d4cad-b43a-48b9-8e3d-80ae55ad2a20', '6486a609-2980-4a93-8981-b685baea7e8d']",38,,,,,,,,,,,,,,,,,England,768,00:10:38.562,Ball Recovery,True
3200,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1a1287e5-46bb-4b03-9537-0cbd0d6af170,489,,,"[88.2, 34.6]",3942819,13,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Harry Kane,10955.0,Center Forward,18,England,768,,35,,,,,,,,,,,,,,,,,England,768,00:13:35.190,Ball Recovery,
3201,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,23fa0aa9-43f8-4652-9d9c-f8f9f5397470,500,,,"[106.5, 34.9]",3942819,13,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Harry Kane,10955.0,Center Forward,18,England,768,,43,,,,,,,,,,,,,,,,,England,768,00:13:43.353,Ball Recovery,
3202,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d035bc7f-e05d-4f58-867c-b0a40d04700a,512,,,"[28.7, 71.3]",3942819,19,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Virgil van Dijk,3669.0,Left Center Back,22,Netherlands,941,['3e0af3f8-a83c-4345-a927-5a33157a3483'],7,,,,,,,,,,,,,,,,,Netherlands,941,00:19:07.359,Ball Recovery,
3203,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aab58da1-5bf2-4c47-8f61-ca64d784f72b,614,,,"[90.6, 8.8]",3942819,21,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Harry Kane,10955.0,Center Forward,24,England,768,,22,,,,,,,,,,,,,,,,,England,768,00:21:22.244,Ball Recovery,
3204,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7165f199-d424-4817-8ea5-00292d42397b,621,,,"[15.5, 33.2]",3942819,21,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tijjani Reijnders,21582.0,Left Defensive Midfield,25,Netherlands,941,['5b595834-311a-4c4d-809a-0d6e78c0694a'],31,,,,,,,,,,,,,,,,,Netherlands,941,00:21:31.934,Ball Recovery,
3205,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d736a672-e311-43de-aaf8-743e217b834d,646,,,"[79.6, 62.2]",3942819,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Phil Foden,4354.0,Right Attacking Midfield,27,England,768,,12,,,,,,,,,,,,,,,,,England,768,00:22:12.967,Ball Recovery,
3206,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fbd4060f-863c-4eee-b607-208d21e127f2,701,,,"[104.1, 73.4]",3942819,23,,,,,,,,,,,,,,,,,,,,,,,1,Other,Kyle Walker,3205.0,Right Center Back,30,England,768,,36,,,,,,,,,,,,,,,,,England,768,00:23:36.065,Ball Recovery,
3207,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bc4b0f92-62aa-415c-885b-2914869d1062,775,,,"[27.9, 54.2]",3942819,24,,,,,,,,,,,,,,,,,,,,,,,1,Other,Xavi Simons,39167.0,Center Attacking Midfield,30,England,768,,45,,,,,,,,,,,,,,,,,Netherlands,941,00:24:45.670,Ball Recovery,
3208,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8447f54b-7c4d-430c-ac2f-4677ba0afe46,802,,,"[3.0, 33.8]",3942819,25,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bart Verbruggen,37274.0,Goalkeeper,31,Netherlands,941,,8,,,,,,,,,,,,,,,,,Netherlands,941,00:25:08.182,Ball Recovery,
3209,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9fe48f47-2a3a-4f5c-9023-ca658bc528e1,818,,,"[84.2, 34.5]",3942819,25,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tijjani Reijnders,21582.0,Left Defensive Midfield,31,Netherlands,941,['5d1865af-d69a-4c04-92da-e653974d73c1'],31,,,,,,,,,,,,,,,,,Netherlands,941,00:25:31.308,Ball Recovery,
