,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
20,,,,,,,,,,,,,,,0.728266,,,,,,,,,,,545e5702-5ff1-4642-865b-d1611e6a178e,55,,"[78.8, 28.2]",3930171,1,,,,0.66104317,,Left Foot,,,,"[89.6, 36.6]",,Ground Pass,,13.682105,,,,Rasmus Winther Højlund,51672.0,,,,,,,1,From Keeper,Victor Bernth Kristansen,60343.0,Left Wing Back,5,England,768,['06d8de84-4d34-4a99-98a7-e250d18d7ee1'],1,,,,,,,,,,,,,,,,,Denmark,776,00:01:01.296,Pass,
21,,,,,,,,,,,,,,,1.659996,,,,,,,,,,,108bbde8-1a57-43f9-b57a-a68b7c736f8d,58,,"[90.5, 36.9]",3930171,1,,,,-3.057286,,Left Foot,,,,"[76.3, 35.7]",,Ground Pass,,14.250614,,Incomplete,,Victor Bernth Kristansen,60343.0,,,,,,,1,From Keeper,Rasmus Winther Højlund,51672.0,Center Forward,5,England,768,"['3f95e470-04f7-44ff-b0b6-7f0a261f7a30', 'c67b49af-11f8-408c-b72b-5e60eaadd451']",2,,,,,,,,,,,,,,,,,Denmark,776,00:01:02.605,Pass,
22,,,,,,,,,,,,,,,3.463399,,,,,,,,,,,6178f315-55da-437c-adc8-8b4052524528,62,,"[44.3, 51.4]",3930171,1,,,,0.6900995,,Right Foot,,,,"[74.1, 76.0]",,High Pass,,38.641945,,,,Bukayo Saka,22084.0,,,,,,,1,From Keeper,Harry Kane,10955.0,Center Forward,5,England,768,['1aa1f729-b454-4598-b667-c8fbd6b7f54a'],5,,,,,,,,,,,,,,,,,England,768,00:01:05.979,Pass,
23,,,,,,,,,,,,,,,2.159026,,,,,,,,,,,e4217a16-43b1-4498-9103-380b85baf87a,68,,"[72.0, 80.0]",3930171,1,True,,,-2.9091375,,,,,,"[47.5, 74.2]",,Low Pass,,25.177172,,,,Kyle Walker,3205.0,,,,,,Throw-in,1,From Throw In,Harry Kane,10955.0,Center Forward,6,England,768,['10ce4a60-daa4-4397-bbfc-544c94b3eb84'],15,,,,,,,,,,,,,,,,,England,768,00:01:15.292,Pass,
24,,,,,,,,,,,,,,,1.319132,,,,,,,,,,,e3ca4ecb-83bf-4a14-91c5-1d99f2a97194,70,,"[50.8, 61.1]",3930171,1,,,,-1.7625844,,Right Foot,,,,"[46.8, 40.5]",,Ground Pass,,20.984756,,,,John Stones,3244.0,,,,,,,1,From Throw In,Kyle Walker,3205.0,Right Back,6,England,768,['8a3fb152-8e2c-4375-a4cb-f47618306441'],23,,,,,,,,,,,,,,,,,England,768,00:01:23.631,Pass,
25,,,,,,,,,,,,,,,0.667274,,,,,,,,,,,401491a6-c474-443d-bbde-3fe4f35172a7,73,,"[46.6, 40.2]",3930171,1,,,,-0.6857295,,Right Foot,,,,"[53.2, 34.8]",,Ground Pass,,8.527602,,,,Declan Rice,3943.0,,,,,,,1,From Throw In,John Stones,3244.0,Right Center Back,6,England,768,['163b1ae4-b0fc-492e-ab69-5cc7bd864921'],25,,,,,,,,,,,,,,,,,England,768,00:01:25.897,Pass,
26,,,,,,,,,,,,,,,1.27557,,,,,,,,,,,ca38fae0-bf9a-45b2-8a90-5ac1a10cd292,75,,"[53.8, 35.3]",3930171,1,,,,3.1148133,,Right Foot,,,,"[42.6, 35.6]",,Ground Pass,,11.204017,,,,John Stones,3244.0,,,,,,,1,From Throw In,Declan Rice,3943.0,Left Defensive Midfield,6,England,768,['ccf80356-2ad6-44e0-85aa-7243dfa37b26'],26,,,,,,,,,,,,,,,,,England,768,00:01:26.565,Pass,
27,,,,,,,,,,,,,,,1.319275,,,,,,,,,,,7d2e8980-db4d-4cf4-90ee-bd534088107e,79,,"[41.0, 32.3]",3930171,1,,,,-1.5506648,,Right Foot,,,,"[41.3, 17.4]",,Ground Pass,,14.90302,,,,Marc Guehi,34526.0,,,,,,,1,From Throw In,John Stones,3244.0,Right Center Back,6,England,768,"['e8c760f0-486b-474e-aead-500121f1f72b', 'ef290df0-2326-4b65-8bd2-ad77f86a6043']",28,,,,,,,,,,,,,,,,,England,768,00:01:28.305,Pass,True
28,,,,,,,,,,,,,,,0.784564,,,,,,,,,,,0064d603-ca49-4129-ac5a-85a32fa09b76,82,,"[41.0, 16.9]",3930171,1,,,,0.87605804,,Left Foot,,,,"[45.5, 22.3]",,Ground Pass,,7.029225,,,,Declan Rice,3943.0,,,,,,,1,From Throw In,Marc Guehi,34526.0,Left Center Back,6,England,768,['633ab2a6-14ed-48ad-93a7-0c526a6410bf'],30,,,,,,,,,,,,,,,,,England,768,00:01:30.121,Pass,
29,,,,,,,,,,,,,,,1.289448,,,,,,,,,,,6bf1b012-5bf7-4462-ae38-1acbbd73f77b,84,,"[45.5, 22.7]",3930171,1,,,,-0.70968115,,Left Foot,,,,"[61.1, 9.3]",,Ground Pass,,20.56502,,,,Kieran Trippier,3308.0,,,,,,,1,From Throw In,Declan Rice,3943.0,Left Defensive Midfield,6,England,768,['1b01189f-c278-4b73-99a2-394a11bcafe9'],30,,,,,,,,,,,,,,,,,England,768,00:01:30.905,Pass,
30,,,,,,,,,,,,,,,0.770126,,,,,,,,,,,df03b246-948c-4bc8-91a6-a68cb5db3429,87,,"[61.3, 7.7]",3930171,1,,,,-3.020969,,Right Foot,,,,"[54.7, 6.9]",,Ground Pass,,6.6483083,,,,Phil Foden,4354.0,,,,,,,1,From Throw In,Kieran Trippier,3308.0,Left Back,6,England,768,"['5aaf24d7-a089-4698-b4fb-4ca57db4ea5a', '98582c76-9c16-4666-a796-fa93fb5b7d56']",32,,,,,,,,,,,,,,,,,England,768,00:01:32.195,Pass,True
31,,,,,,,,,,,,,,,0.318402,,,,,,,,,,,09d9d65f-e773-4c21-bb62-7c3d7533d47f,91,,"[54.5, 7.2]",3930171,1,,,,1.4056476,,Left Foot,,,,"[55.0, 10.2]",,Ground Pass,,3.0413814,,,,Jude Bellingham,30714.0,,,,,,,1,From Throw In,Phil Foden,4354.0,Left Wing,6,England,768,"['302c946b-9958-425d-93af-5094c4ca46c3', 'f529ec30-e9fb-411d-aaa2-0b57511b9b1c']",32,,,,,,,,,,,,,,,,,England,768,00:01:32.970,Pass,True
32,,,,,,,,,,,,,,,0.440075,,,,,,,,,,,a011c08f-fe96-4056-9e0f-7aab37155ed3,93,,"[55.0, 10.2]",3930171,1,,,,-2.0607536,,Right Foot,,,,"[53.4, 7.2]",,Ground Pass,,3.4,,,,Phil Foden,4354.0,,,,,,,1,From Throw In,Jude Bellingham,30714.0,Center Attacking Midfield,6,England,768,"['302c946b-9958-425d-93af-5094c4ca46c3', 'fba6b21d-ddd7-467e-81b7-849cb3ecc8d7']",33,,,,,,,,,,,,,,,,,England,768,00:01:33.288,Pass,True
33,,,,,,,,,,,,,,,1.274969,,,,,,,,,,,a7369345-a02d-413d-b3b2-ac431fb71e0c,96,,"[49.2, 21.8]",3930171,1,,,,1.784857,,Left Foot,,,,"[46.2, 35.6]",,Ground Pass,,14.122323,,,,Trent Alexander-Arnold,3664.0,,,,,,,1,From Throw In,Phil Foden,4354.0,Left Wing,6,England,768,['524dc42e-2f8a-4a59-930f-871515e58658'],35,,,,,,,,,,,,,,,,,England,768,00:01:35.406,Pass,
