,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
740,,,,,,,,,,,,,,,,,,,1.818447,,,,,,,,,,,,4cc23941-bdad-4715-9005-0d54c9cdd7c3,2650,,,"[48.6, 52.5]",3943043,70,,,,-1.5114256,,Right Foot,,,"[50.3, 23.9]",,Ground Pass,,28.65048,,,,Aymeric Laporte,4353.0,,,,,,2,Regular Play,Robin Aime Robert Le Normand,22128.0,Right Center Back,113,Spain,772,['3ee36a27-c440-4e90-9715-26e7f960b26d'],48,,,,,,,,,,,,,,,,,,Spain,772,00:25:48.141,Pass,
741,,,,,,,,,,,,,,,,,,,1.298376,,,,,,,,,,,,1fe47615-62fa-492c-88da-bf4fc11c5c11,2653,,,"[55.1, 14.7]",3943043,70,,,,-1.3966523,,Right Foot,,,"[57.0, 3.9]",,Ground Pass,,10.965857,,,,Marc Cucurella Saseta,17620.0,,,,,,2,Regular Play,Aymeric Laporte,4353.0,Left Center Back,113,Spain,772,['d4425a49-a4e8-4e56-bdcd-1cb34a39a537'],54,,,,,,,,,,,,,,,,,,Spain,772,00:25:54.260,Pass,
742,,,,,,,,,,,,,,,,,,,1.042021,,,,,,,,,,,,002f2762-396e-492e-93f5-ad47ffcf14e9,2657,,,"[56.2, 4.9]",3943043,70,,,,2.6497834,,Left Foot,,,"[42.2, 12.4]",,Ground Pass,,15.8823805,,,,Aymeric Laporte,4353.0,,,,,,2,Regular Play,Marc Cucurella Saseta,17620.0,Left Back,113,Spain,772,"['4df5f664-e195-4e0e-93b0-041ccf7a46d5', 'fea998ad-0409-400f-958d-d0da48e8ab38']",56,,,,,,,,,,,,,,,,,,Spain,772,00:25:56.168,Pass,True
743,,,,,,,,,,,,,,,,,,,2.299934,,,,,,,,,,,,61c574e1-09e0-48f9-ab03-a3407f675370,2661,,,"[30.1, 15.6]",3943043,70,,,,2.4449658,,Left Foot,,,"[9.3, 33.0]",,Ground Pass,,27.11826,,,,Unai Simón Mendibil,11748.0,,,,,,2,Regular Play,Aymeric Laporte,4353.0,Left Center Back,113,Spain,772,"['50d882b1-df2a-43dd-82bf-35eeb80f7a35', 'aac41eb9-5a9f-4e53-8a46-b77c984b03d6']",59,,,,,,,,,,,,,,,,,,Spain,772,00:25:59.162,Pass,True
744,,,,,,,,,,,,,,,,,,,1.595109,,,,,,,,,,,,14329682-f4a8-4456-b375-d58cbae57b42,2665,,,"[10.0, 33.8]",3943043,71,,,,0.33003974,,Right Foot,,,"[49.7, 47.4]",,High Pass,,41.964867,,,,Daniel Olmo Carvajal,16532.0,,,,,,2,Regular Play,Unai Simón Mendibil,11748.0,Goalkeeper,113,Spain,772,"['0b0d9ceb-f4a0-4907-9485-a87e7c548e35', 'd3a98673-1541-468b-9311-dc0e6f54f839']",3,,,,,,,,,,,,,,,,,,Spain,772,00:26:03.057,Pass,True
745,,,,,,,,,,,,,,,,,,,1.027602,,,,,,,,,,,,92827a0d-af35-4f80-bef2-b095f3fce382,2669,,,"[49.7, 47.4]",3943043,71,,,,0.4722434,,Other,,,"[63.6, 54.5]",,Low Pass,,15.608331,,Pass Offside,,Lamine Yamal Nasraoui Ebana,316046.0,,,,,,2,Regular Play,Daniel Olmo Carvajal,16532.0,Center Attacking Midfield,113,Spain,772,['f9ec4b2d-4b7b-41fa-82b8-e2325f56f0e0'],4,,,,,,,,,,,,,,,,,,Spain,772,00:26:04.729,Pass,
746,,,,,,,,,,,,,,,,,,,1.566612,,,,,,,,,,,,81688df8-e601-41a4-8026-5762861fbe7f,2671,,,"[55.3, 39.3]",3943043,71,,,,-1.5132682,,Right Foot,,,"[56.4, 20.2]",,Ground Pass,,19.131649,,,,Marc Guehi,34526.0,,,,,Free Kick,2,From Free Kick,John Stones,3244.0,Right Center Back,114,England,768,['d661cc17-6742-40c1-a93e-8d19c1e17749'],33,,,,,,,,,,,,,,,,,,England,768,00:26:33.950,Pass,
747,,,,,,,,,,,,,,,,,,,1.262598,,,,,,,,,,,,7732c30f-08a7-452a-a493-39460e11c102,2675,,,"[50.9, 27.0]",3943043,71,,,,1.2193515,,Right Foot,,,"[56.4, 42.0]",,Ground Pass,,15.976545,,,,Jude Bellingham,30714.0,,,,,,2,From Free Kick,Marc Guehi,34526.0,Left Center Back,114,England,768,"['849122fb-9cbb-488d-aaa0-b7192786390a', 'd13b7e7d-5274-47cd-8636-6250d4b45723']",38,,,,,,,,,,,,,,,,,,England,768,00:26:38.820,Pass,True
748,,,,,,,,,,,,,,,,,,,0.912563,,,,,,,,,,,,39563617-6877-476e-860d-b813c674cce3,2678,,,"[56.1, 26.3]",3943043,71,,,,0.6540827,,Right Foot,,,"[65.1, 33.2]",,Ground Pass,,11.340635,,Incomplete,,Phil Foden,4354.0,,,,,,2,From Free Kick,Jude Bellingham,30714.0,Right Defensive Midfield,114,England,768,"['53ffa15c-ae50-4d8d-96ec-4e273a75910f', '94b1dbb7-81fe-4106-83fc-1708c3a75ac3']",43,,,,,,,,,,,,,,,,,,England,768,00:26:43.133,Pass,
749,,,,,,,,,,,,,,,,,,,1.637715,,,,,,,,,,,,b2606618-4879-4576-8739-4e77e1bbf4a0,2686,,,"[88.9, 36.4]",3943043,71,,,,-0.4619145,cebe071f-c7b3-4c7b-88c1-73d5e70e22a4,Right Foot,,,"[112.0, 24.9]",,Ground Pass,,25.804264,,,,Mikel Oyarzabal Ugarte,6685.0,True,,,,,2,From Counter,Martín Zubimendi Ibáñez,24921.0,Right Defensive Midfield,115,Spain,772,['47bc8c4d-ab30-4c71-9737-d7edd21c2065'],48,,,,,,,,,,,,,,,,,,Spain,772,00:26:48.297,Pass,
750,,,,,,,,,,,,,,,,,,,1.863585,,,,,,,,,,,,e601e1af-bb80-44be-8b2a-2bdf4998eb7f,2691,,,"[14.8, 48.8]",3943043,71,True,,,0.26361507,,Keeper Arm,,,"[43.7, 56.6]",,Ground Pass,,29.934093,,,,Jude Bellingham,30714.0,,,,,,2,From Keeper,Jordan Pickford,3468.0,Goalkeeper,117,England,768,['9bc11482-c27a-454e-84d5-0f9a68378cc5'],53,,,,,,,,,,,,,,,,,,England,768,00:26:53.760,Pass,
751,,,,,,,,,,,,,,,,,,,1.227322,,,,,,,,,,,,5a1ff4f9-9090-4ba0-8e27-d4be893e5850,2698,,,"[44.2, 58.8]",3943043,71,,,,1.4094212,,Right Foot,,,"[45.6, 67.4]",,Low Pass,,8.713208,,,,Cole Palmer,39461.0,,,,,,2,From Keeper,Jude Bellingham,30714.0,Right Defensive Midfield,117,England,768,"['123fd71b-9dc4-44d2-b70a-93d3b0b77232', 'ec31c8b3-e6ca-4c4b-816d-8f4938a3bf66']",55,,,,,,,,,,,,,,,,,,England,768,00:26:55.912,Pass,True
752,,,,,,,,,,,,,,,,,,,2.14086,,,,,,,,,,,,f91c0de7-cbad-4b15-8eed-91cb97fd8801,2701,,,"[46.2, 67.7]",3943043,71,,,,0.350103,,Left Foot,,,"[70.3, 76.5]",,Ground Pass,,25.656384,,,,Bukayo Saka,22084.0,,,,,,2,From Keeper,Cole Palmer,39461.0,Center Attacking Midfield,117,England,768,['de5e52ae-a902-4d76-947d-6c885abcf6dc'],58,,,,,,,,,,,,,,,,,,England,768,00:26:58.032,Pass,
753,,,,,,,,,,,,,,,,,,,0.918519,,,,,,,,,,,,2bd4e130-518b-4abd-b31f-9555e2f50e32,2705,,,"[109.5, 60.5]",3943043,72,,,,-1.7251151,,Left Foot,True,,"[107.4, 47.0]",,Ground Pass,,13.662357,,,,Jude Bellingham,30714.0,,,,,,2,From Keeper,Bukayo Saka,22084.0,Right Wing,117,England,768,['8751c9cd-ecfc-46dc-8640-bd3b0708efe4'],6,,,,,,,,,,,,,,,,,,England,768,00:27:06.377,Pass,
754,,,,,,,,,,,,,,,,,,,1.342855,,,,,,,,,,,,12fd28e4-7ce9-4939-9927-835fc7ad7e2b,2708,,,"[107.6, 47.0]",3943043,72,,,,2.6607053,45a21d64-ccc8-4007-b9c8-fb3f6992dace,Right Foot,,,"[98.4, 51.8]",True,Ground Pass,,10.376898,,,,Cole Palmer,39461.0,,,,,,2,From Keeper,Jude Bellingham,30714.0,Right Defensive Midfield,117,England,768,['94d75035-67a3-45ae-86b1-92241435882f'],7,,,,,,,,,,,,,,,,,,England,768,00:27:07.295,Pass,
755,,,,,,,,,,,,,,,,,,,1.949246,,,,,,,,,,,,95f4557a-e7e7-4be0-8813-a74442293e92,2713,,,"[60.0, 40.0]",3943043,73,True,,,2.669612,,Right Foot,,,"[36.1, 52.2]",,Ground Pass,,26.833748,,,,Robin Aime Robert Le Normand,22128.0,,,,,Kick Off,2,From Kick Off,Mikel Oyarzabal Ugarte,6685.0,Center Forward,119,Spain,772,['30985d67-4ffd-412b-9bd6-e096730d02c2'],21,,,,,,,,,,,,,,,,,,Spain,772,00:28:21.737,Pass,
756,,,,,,,,,,,,,,,,,,,1.345015,,,,,,,,,,,,12d97331-2b13-4972-8571-440324793f80,2715,,,"[34.3, 48.6]",3943043,73,,,,-1.4379796,,Right Foot,,,"[37.6, 23.9]",,Ground Pass,,24.91947,,,,Aymeric Laporte,4353.0,,,,,,2,From Kick Off,Robin Aime Robert Le Normand,22128.0,Right Center Back,119,Spain,772,['4d277e6e-9325-4aac-87b6-7254aba3cbc2'],24,,,,,,,,,,,,,,,,,,Spain,772,00:28:24.003,Pass,
757,,,,,,,,,,,,,,,,,,,0.685554,,,,,,,,,,,,6ced656a-a7b0-49e7-ad37-b4b9747f7a7e,2718,,,"[40.6, 14.9]",3943043,73,,,,-1.8389071,,Right Foot,,,"[38.1, 5.8]",,Ground Pass,,9.4371605,,,,Marc Cucurella Saseta,17620.0,,,,,,2,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,119,Spain,772,['e0a1a2a6-38d1-4e10-a57b-55f5db2add1d'],27,,,,,,,,,,,,,,,,,,Spain,772,00:28:27.275,Pass,
758,,,,,,,,,,,,,,,,,,,1.830381,,,,,,,,,,,,ce1d12b8-241b-4027-85c9-247f5ff72445,2721,,,"[34.8, 5.2]",3943043,73,,,,2.3009317,,Left Foot,,,"[12.6, 30.0]",,Ground Pass,,33.284832,,,,Unai Simón Mendibil,11748.0,,,,,,2,From Kick Off,Marc Cucurella Saseta,17620.0,Left Back,119,Spain,772,['ff20bf3d-3f56-49fb-ab28-5412f9fdee48'],29,,,,,,,,,,,,,,,,,,Spain,772,00:28:29.258,Pass,
759,,,,,,,,,,,,,,,,,,,1.852651,,,,,,,,,,,,b81280ba-e006-4aa8-aaaa-ed5bc34873cc,2724,,,"[15.4, 36.4]",3943043,73,,,,1.5263052,,Right Foot,,,"[16.7, 65.6]",,Ground Pass,,29.228924,,,,Robin Aime Robert Le Normand,22128.0,,,,,,2,From Kick Off,Unai Simón Mendibil,11748.0,Goalkeeper,119,Spain,772,['0f17d022-376b-4d38-a85a-5f4589429541'],32,,,,,,,,,,,,,,,,,,Spain,772,00:28:32.628,Pass,
760,,,,,,,,,,,,,,,,,,,1.135617,,,,,,,,,,,,aea3cad3-875b-4a4a-9937-0772777dee20,2728,,,"[29.3, 71.6]",3943043,73,,,,-0.54616654,,Right Foot,,,"[54.8, 56.1]",,Low Pass,,29.841248,,,,Daniel Olmo Carvajal,16532.0,,,,,,2,From Kick Off,Robin Aime Robert Le Normand,22128.0,Right Center Back,119,Spain,772,"['20b6967b-d5d4-4ade-a571-ef631f0fe2a6', '9387b86d-99d7-4545-843d-cc0765d0ea23']",37,,,,,,,,,,,,,,,,,,Spain,772,00:28:37.088,Pass,True
761,,,,,,,,,,,,,,,,,,,1.031762,,,,,,,,,,,,d72008e5-2ac0-4df5-87fe-7bbbe71e218c,2735,,,"[60.6, 58.7]",3943043,73,,,,0.78165287,,Right Foot,,,"[74.0, 72.0]",,Ground Pass,,18.879883,,,,Bukayo Saka,22084.0,,,,,,2,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,120,England,768,"['8265c001-2e23-404e-afa9-8485263364f3', 'c295b55b-c37b-4438-abd3-dd5cf13d7812']",43,,,,,,,,,,,,,,,,,,England,768,00:28:43.704,Pass,True
