,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
20,,,,,,,,,,,,,,,,,0.945865,,,,,,,,,,,,,,c67acaf3-eb7b-4661-b19d-1b61783918ef,53,,"[64.0, 58.8]",3930163,0,,,,1.5707964,,Right Foot,,,"[64.0, 70.2]",Ground Pass,11.4,,,,,Kyle Walker,3205.0,,,,,,1,Regular Play,Trent Alexander-Arnold,3664.0,Right Defensive Midfield,4,England,768,['3588e638-a714-439e-a70c-6f8a23f0ca7e'],48,,,,,,,,,,,,,,,,,England,768,00:00:48.633,Pass,
21,,,,,,,,,,,,,,,,,1.408357,,,,,,,,,,,,,,5bb6dafe-ea75-4ca2-ba8f-6cc92ff2dbed,56,,"[64.3, 70.2]",3930163,0,,,,-2.0792205,,Right Foot,,,"[53.6, 51.0]",Ground Pass,21.980219,,,,,John Stones,3244.0,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Back,4,England,768,['8a8065f7-9965-47e8-bca5-8e8d0cc26bab'],49,,,,,,,,,,,,,,,,,England,768,00:00:49.649,Pass,
22,,,,,,,,,,,,,,,,,0.680641,,,,,,,,,,,,,,b8055aa3-a65f-4ece-be62-f8f6606b33e0,59,,"[53.6, 51.0]",3930163,0,,,,-0.8012698,,Right Foot,,,"[59.8, 44.6]",Ground Pass,8.910667,,,,,Declan Rice,3943.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,4,England,768,['ced765d4-c24c-468b-bf4b-f24b4831cf36'],51,,,,,,,,,,,,,,,,,England,768,00:00:51.681,Pass,
23,,,,,,,,,,,,,,,,,0.913334,,,,,,,,,,,,,,e440cd14-2869-4d10-a523-da5868c35edf,62,,"[62.9, 43.2]",3930163,0,,,,-1.3799652,,Right Foot,,,"[64.6, 34.4]",Ground Pass,8.962701,,,,,Phil Foden,4354.0,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,4,England,768,['490d8492-8684-4c7c-8008-e8dc1cf77d32'],54,,,,,,,,,,,,,,,,,England,768,00:00:54.271,Pass,
24,,,,,,,,,,,,,,,,,1.281663,,,,,,,,,,,,,,14808c84-ea5b-4655-97bb-1b17ae24c86c,65,,"[64.6, 34.4]",3930163,0,,,,-1.9477056,,Left Foot,,,"[60.8, 24.8]",Ground Pass,10.324728,,,,,Marc Guehi,34526.0,,,,,,1,Regular Play,Phil Foden,4354.0,Left Wing,4,England,768,['32e5c233-fd94-42e4-b699-c80ac6d3e31a'],56,,,,,,,,,,,,,,,,,England,768,00:00:56.012,Pass,
25,,,,,,,,,,,,,,,,,0.857567,,,,,,,,,,,,,,87f3b7a4-236e-4d06-9c2b-3c596af61b25,68,,"[60.8, 24.8]",3930163,0,,,,0.9192091,,Right Foot,,,"[65.3, 30.7]",Ground Pass,7.420243,,,,,Phil Foden,4354.0,,,,,,1,Regular Play,Marc Guehi,34526.0,Left Center Back,4,England,768,['a18b7c10-3654-4e60-a1bd-3d475fe73e27'],58,,,,,,,,,,,,,,,,,England,768,00:00:58.012,Pass,
26,,,,,,,,,,,,,,,,,1.078588,,,,,,,,,,,,,,fa1a17cb-2dd2-4c77-b0e6-243100bf0922,71,,"[65.3, 29.7]",3930163,0,,,,-0.9194214,,Left Foot,,,"[73.0, 19.6]",Ground Pass,12.700394,,,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,Phil Foden,4354.0,Left Wing,4,England,768,['6f10c1dd-0382-457b-abe9-960f85ed3f1a'],59,,,,,,,,,,,,,,,,,England,768,00:00:59.990,Pass,
27,,,,,,,,,,,,,,,,,1.314976,,,,,,,,,,,,,,b6dc173d-ba37-494e-b133-3ca8382e6dad,75,,"[92.7, 24.8]",3930163,1,,,,2.0783489,,Right Foot,,,"[82.3, 43.5]",Ground Pass,21.39743,,,,,Declan Rice,3943.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Center Attacking Midfield,4,England,768,"['7d5e068f-f8b7-4c6b-a553-f21a2531ea0c', 'c05b7396-b0ca-4509-a01a-c8557f4df458']",6,,,,,,,,,,,,,,,,,England,768,00:01:06.930,Pass,True
28,,,,,,,,,,,,,,,,,2.042595,,,,,,,,,,,,,,6ef43785-850c-4f38-9730-7107787baaea,78,,"[83.7, 45.6]",3930163,1,,,,1.0086861,,Right Foot,,,"[101.4, 73.7]",Ground Pass,33.209938,,,,,Bukayo Saka,22084.0,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,4,England,768,['a6751f58-ebc2-4e36-aa5b-b443270b8026'],9,,,,,,,,,,,,,,,,,England,768,00:01:09.173,Pass,
29,,,,,,,,,,,,,,,,,0.825777,,,,,,,,,,,,,,c96423dd-842c-4656-a23b-5addab7f782a,81,,"[100.3, 65.5]",3930163,1,,,,1.9347752,,Left Foot,,,"[97.9, 71.8]",Ground Pass,6.7416615,,,,,Kyle Walker,3205.0,,,,,,1,Regular Play,Bukayo Saka,22084.0,Right Wing,4,England,768,['b796147c-9147-4127-9d6a-12c280a4e6c8'],16,,,,,,,,,,,,,,,,,England,768,00:01:16.640,Pass,
