,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
3369,,,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,9b07422a-55e4-46a5-910d-3ca3a57038bf,2873,,,"[29.5, 46.8]",3930181,67,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Adam Gnezda Čerin,31968.0,Right Defensive Midfield,96,England,768,['3a6c8300-a53e-4335-819f-f033615372b9'],33,,,,,,,,,,,,,,,,,Slovenia,944,00:22:33.527,Duel,True
3370,,,,,,,,,,,,True,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,878e3141-7311-4054-8f4f-64e1ad032146,2923,,,"[84.3, 60.3]",3930181,70,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Kyle Walker,3205.0,Right Back,99,Slovenia,944,['74b9c16b-ae74-436b-a70a-47baf0f88d8c'],47,,,,,,,,,,,,,,,,,England,768,00:25:47.109,Duel,True
3371,,,,,,,,,,,,,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,6f634d62-216d-4384-b888-07e745f23f92,2996,,,"[14.1, 74.9]",3930181,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Vanja Drkušić,205932.0,Right Center Back,101,England,768,['e1a91fac-be7f-46a1-9ac7-27a14cf48884'],10,,,,,,,,,,,,,,,,,Slovenia,944,00:28:10.909,Duel,True
3372,,,,,,,,,,,,,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,19701822-9df5-491d-af39-300490109296,3056,,,"[14.4, 77.3]",3930181,74,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Petar Stojanović,16528.0,Right Midfield,102,England,768,['3797c710-943f-454a-906b-111a1120c8ff'],9,,,,,,,,,,,,,,,,,Slovenia,944,00:29:09.462,Duel,True
3373,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,9de61034-3f9c-4706-9441-2661e4837c8e,3089,,,"[57.7, 22.9]",3930181,75,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Marc Guehi,34526.0,Left Center Back,104,Slovenia,944,['5e96fe13-c019-4617-b807-40a66596e23b'],32,,,,,,,,,,,,,,,,,England,768,00:30:32.416,Duel,True
3374,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,16ae8cfe-ec87-4b6c-a0c4-55910369d85c,3121,,,"[78.2, 78.3]",3930181,76,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Žan Karničnik,137487.0,Right Back,104,Slovenia,944,['a4d42c12-b172-4d8c-bb22-4b1225895488'],3,,,,,,,,,,,,,,,,,Slovenia,944,00:31:03.888,Duel,True
3375,,,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,5f5b49b4-113f-46a8-85a0-d04da687d4c9,3259,,,"[21.1, 19.3]",3930181,80,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jan Mlakar,31089.0,Left Midfield,112,England,768,['600e33d9-9b94-47a3-b55f-191c5f12ca65'],4,,,,,,,,,,,,,,,,,Slovenia,944,00:35:04.092,Duel,True
3376,,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,4685e48b-b019-43af-ac53-c680a4459e5e,3285,,,"[21.9, 23.1]",3930181,81,,,,,,,,,,,,,,,,,,,,,,,,2,Other,Timi Elšnik,15896.0,Left Defensive Midfield,114,England,768,['add25fa8-7825-41ae-9ee8-b37ec9a7b141'],16,,,,,,,,,,,,,,,,,Slovenia,944,00:36:16.674,Duel,True
3377,,,,,,,,,,,,,,,,Success Out,Tackle,0.0,,,,,,,,,,,,,641a6d35-f9e3-4f09-9fc8-7d94ad0200cf,3449,,,"[51.2, 1.0]",3930181,85,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jude Bellingham,30714.0,Center Attacking Midfield,123,Slovenia,944,['ead42561-89dd-4eda-826a-77b35d1c6967'],40,,,,,,,,,,,,,,,,,England,768,00:40:40.975,Duel,True
3378,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,0c176f01-f7a2-4477-82da-b132a9608da9,3544,,,"[113.7, 42.0]",3930181,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,John Stones,3244.0,Right Center Back,127,England,768,['0bcac7ce-4185-40ab-92a3-fe838cd798a9'],14,,,,,,,,,,,,,,,,,England,768,00:43:14.036,Duel,True
3379,,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,4606cde7-0f12-4e94-8f04-21ac45b22943,3634,,,"[40.5, 7.5]",3930181,92,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,136,England,768,['b91ef090-3a15-414b-99bf-99ac3f25df29'],23,,,,,,,,,,,,,,,,,England,768,00:47:23.796,Duel,True
3380,,,,,,,,,,,,True,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,d855fd39-5d43-48d3-a91c-9e1b309433a9,3639,,,"[71.6, 73.7]",3930181,92,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Adam Gnezda Čerin,31968.0,Right Defensive Midfield,136,England,768,['bf881352-37ae-4995-99ff-932f7a21ee00'],25,,,,,,,,,,,,,,,,,Slovenia,944,00:47:25.640,Duel,True
3381,,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,f964a43c-547c-4e9d-8862-d9314d1a8b70,3654,,,"[6.4, 8.5]",3930181,92,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Timi Elšnik,15896.0,Left Defensive Midfield,137,England,768,['c908b19f-d3a0-49d5-bf3c-48673f46640b'],53,,,,,,,,,,,,,,,,,Slovenia,944,00:47:53.180,Duel,True
3382,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c673b74-f169-4656-8065-183f356415f1,103,,,"[88.7, 13.1]",3930181,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,4,England,768,['1f0f74bd-7fbf-4d1d-bbcb-8a03dc9ad5b6'],36,,,,,,,,,,,,,,,,,England,768,00:01:36.069,Ball Recovery,
3383,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9a215541-73f9-4a02-a7bc-04c61969176a,208,,,"[98.9, 11.6]",3930181,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jan Mlakar,31089.0,Left Midfield,11,Slovenia,944,,37,,,,,,,,,,,,,,,,,Slovenia,944,00:04:37.685,Ball Recovery,
3384,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3455a954-11e3-4e64-abda-ff98638dd5b5,220,,,"[57.0, 9.2]",3930181,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adam Gnezda Čerin,31968.0,Right Defensive Midfield,13,Slovenia,944,,17,,,,,,,,,,,,,,,,,Slovenia,944,00:05:17.326,Ball Recovery,
